date,decimal_year,Julian_Day,Year,GHIsat,GHIg
2011-07-06,2011.5095890411,187,2011,8.81267555004111,8.24825
2011-07-07,2011.51232876712,188,2011,8.69923689401493,8.14371666666667
2011-07-08,2011.51506849315,189,2011,8.59184198424579,7.94026666666667
2011-07-09,2011.51780821918,190,2011,8.48014826785586,7.80626666666667
2011-07-10,2011.52054794521,191,2011,8.75283185447852,8.1752
2011-07-11,2011.52328767123,192,2011,8.79826501342382,8.36748333333333
2011-07-12,2011.52602739726,193,2011,9.04445911327218,8.2712
2011-07-13,2011.52876712329,194,2011,8.92452735636202,8.37398333333333
2011-07-14,2011.53150684932,195,2011,9.07213734542123,8.477
2011-07-15,2011.53424657534,196,2011,9.14335115459599,8.5159
2011-07-16,2011.53698630137,197,2011,8.86537191123205,8.43293333333333
2011-07-17,2011.5397260274,198,2011,9.01145493227395,8.335
2011-07-18,2011.54246575342,199,2011,8.74329952973377,8.26438333333333
2011-07-19,2011.54520547945,200,2011,8.98545594788127,8.19705
2011-07-20,2011.54794520548,201,2011,8.89195181722165,8.38338333333333
2011-07-21,2011.55068493151,202,2011,9.0006661477994,8.22343333333333
2011-07-22,2011.55342465753,203,2011,8.74407020579587,8.02241666666667
2011-07-23,2011.55616438356,204,2011,8.62352280857115,8.24168333333333
2011-07-24,2011.55890410959,205,2011,8.66855269032432,7.97746666666667
2011-07-25,2011.56164383562,206,2011,8.55259287390549,7.92491666666667
2011-07-26,2011.56438356164,207,2011,8.67178817709513,7.88298333333333
2011-07-27,2011.56712328767,208,2011,8.35847869812131,7.88595
2011-07-28,2011.5698630137,209,2011,8.73411398563029,7.94315
2011-07-29,2011.57260273973,210,2011,8.48152599127396,7.81703333333333
2011-07-30,2011.57534246575,211,2011,8.47462182277417,7.65161666666667
2011-07-31,2011.57808219178,212,2011,8.15153350859594,7.40321666666667
2011-08-01,2011.58082191781,213,2011,8.04965549635452,7.50996666666667
2011-08-02,2011.58356164384,214,2011,8.33287532497221,7.6487
2011-08-03,2011.58630136986,215,2011,8.13241971091184,7.726
2011-08-04,2011.58904109589,216,2011,8.52788621895375,7.87211666666667
2011-08-05,2011.59178082192,217,2011,8.22957928011373,7.73485
2011-08-06,2011.59452054795,218,2011,8.55311731846573,7.79655
2011-08-07,2011.59726027397,219,2011,8.36586710233538,7.94386666666667
2011-08-08,2011.6,220,2011,8.31740200149334,7.82078333333333
2011-08-09,2011.60273972603,221,2011,8.60866089894959,7.8992
2011-08-10,2011.60547945205,222,2011,8.25122089073145,7.79081666666667
2011-08-11,2011.60821917808,223,2011,8.60585683161126,7.89796666666667
2011-08-12,2011.61095890411,224,2011,8.26001008010747,7.79341666666667
2011-08-13,2011.61369863014,225,2011,8.50302709016942,7.75736666666667
